text,label
"Win a FREE iPhone now! Click here: http://spamdomain.com/win",spam
"Limited time offer!!! Visit https://bit.ly/deal now",spam
"Meeting at 10am tomorrow?",ham
"Are we still on for lunch today?",ham
"URGENT: Your account has been compromised. Verify at http://tinyurl.com/secure",spam
"Let's catch up later",ham
"Cheap meds available online viagra!!!",spam
"Your verification code is 123456",ham
"This is harmless",ham
"100% FREE $$$",spam
This is harmless,ham
100% FREE $$$,spam
This is harmless,ham
100% FREE $$$,spam
This is harmless,ham
100% FREE $$$,spam
This is harmless,ham
100% FREE $$$,spam
